iter	Logloss
0	0.6702958554
1	0.6488071269
2	0.6330834135
3	0.6127196224
4	0.5958409654
5	0.582234857
6	0.5708757662
7	0.5618775634
8	0.5520245739
9	0.5435982528
10	0.5353829308
11	0.5248210605
12	0.5183581895
13	0.512813051
14	0.5081085133
15	0.5037117047
16	0.4987049098
17	0.4943364764
18	0.4901723719
19	0.4860296716
20	0.4835546414
21	0.4810251238
22	0.4764981451
23	0.4740955762
24	0.4709355999
25	0.4680137842
26	0.4652082647
27	0.4621295165
28	0.4597231412
29	0.4581355093
30	0.4556152389
31	0.4535475452
32	0.451403026
33	0.4483925323
34	0.4463202846
35	0.4449501625
36	0.4435700033
37	0.4413134844
38	0.4400376253
39	0.4385090312
40	0.4374405314
41	0.436224592
42	0.4349602314
43	0.4337487465
44	0.4323302546
45	0.4306063125
46	0.4289488981
47	0.4282387209
48	0.427486495
49	0.4264327663
50	0.4258687111
51	0.4246908258
52	0.4241125257
53	0.4233553255
54	0.4220782524
55	0.4215188309
56	0.4207285814
57	0.4200268511
58	0.4196064175
59	0.4192844392
60	0.4188870423
61	0.4182435001
62	0.4179194665
63	0.4173794968
64	0.4164343425
65	0.4159821097
66	0.4151503048
67	0.4144611155
68	0.4137620043
69	0.4133679474
70	0.4128890324
71	0.4119718987
72	0.4113397523
73	0.4109894399
74	0.4102528174
75	0.409902173
76	0.4095761786
77	0.4089666652
78	0.408562845
79	0.4078132962
80	0.4074082804
81	0.4070191144
82	0.4060065017
83	0.4055993237
84	0.405050117
85	0.40472652
86	0.4040631215
87	0.4037764016
88	0.4032015768
89	0.4027957589
90	0.4025657158
91	0.4023425315
92	0.4020289431
93	0.4017785941
94	0.4014353476
95	0.4009916363
96	0.400547433
97	0.4001983896
98	0.3998398141
99	0.3990951176
100	0.3985038203
101	0.3980956377
102	0.3976377615
103	0.3973286933
104	0.3968909131
105	0.39632466
106	0.3959199146
107	0.3956921897
108	0.3954398319
109	0.3949961816
110	0.3945212331
111	0.3935801353
112	0.3933157954
113	0.3927315674
114	0.3924773477
115	0.3921486904
116	0.3916116188
117	0.3912861472
118	0.3911374576
119	0.3909086578
120	0.3904639795
121	0.3901417494
122	0.3899798162
123	0.389656476
124	0.3892609728
125	0.388840711
126	0.3885468137
127	0.3883788456
128	0.3879527589
129	0.3877123529
130	0.3869541828
131	0.3865087603
132	0.386136623
133	0.3858562008
134	0.3855187161
135	0.3850294078
136	0.3845881054
137	0.3844718435
138	0.3840132547
139	0.383623497
140	0.3834454734
141	0.3831064589
142	0.3826001257
143	0.3823516639
144	0.3820470333
145	0.3816996892
146	0.3813534476
147	0.3811057755
148	0.3807893285
149	0.3803591794
150	0.3801989809
151	0.3798974198
152	0.3796326901
153	0.3788737443
154	0.378522957
155	0.3779504463
156	0.3777319846
157	0.3773402744
158	0.376779186
159	0.3763529288
160	0.3761621593
161	0.3758027855
162	0.375313864
163	0.3750207356
164	0.3747895667
165	0.3745065403
166	0.3741701287
167	0.3737914609
168	0.3734873734
169	0.3731078556
170	0.3727885035
171	0.3724082549
172	0.3720886095
173	0.3716305149
174	0.3714394969
175	0.3712588682
176	0.3709863304
177	0.3705901666
178	0.3702856232
179	0.3701223009
180	0.3695828513
181	0.3694038365
182	0.3691138446
183	0.3686642783
184	0.3683825817
185	0.3674092641
186	0.3668132942
187	0.3664748751
188	0.366181987
189	0.3657277744
190	0.365447132
191	0.3648481825
192	0.3645448867
193	0.3640592939
194	0.363738948
195	0.3634250019
196	0.3631862775
197	0.362723504
198	0.3622243872
199	0.3618620189
